W_PH_B_1_001 are
W_PH_B_4_019 heed
W_PH_B_4_020 hiss
W_PH_B_4_021 hot
W_PH_B_4_022 how
W_PH_B_4_023 kite
W_PH_B_4_024 merge
W_PH_B_4_025 move
W_PH_B_4_026 neat
W_PH_B_4_027 new
W_PH_B_4_028 oils
W_PH_B_4_029 or
W_PH_B_4_030 peck
W_PH_B_4_031 pert
W_PH_B_4_032 pinch
W_PH_B_4_033 pod
W_PH_B_4_034 race
W_PH_B_4_035 rack
W_PH_B_4_036 rave
W_PH_B_4_037 raw
W_PH_B_4_038 rut
W_PH_B_4_039 sage
W_PH_B_4_040 scab
W_PH_B_4_041 shed
W_PH_B_4_042 shin
W_PH_B_4_043 sketch
W_PH_B_4_044 slap
W_PH_B_4_045 sour
W_PH_B_4_046 starve
W_PH_B_4_047 strap
W_PH_B_4_048 test
W_PH_B_4_049 tick
W_PH_B_4_050 touch
W_PH_B_5_001 add
W_PH_B_5_002 bathe
W_PH_B_5_003 beck
W_PH_B_5_004 black
W_PH_B_5_005 bronze
W_PH_B_5_006 browse
W_PH_B_5_007 cheat
W_PH_B_5_008 choose
W_PH_B_5_009 curse
W_PH_B_5_010 feed
W_PH_B_5_011 flap
W_PH_B_5_012 gape
W_PH_B_5_013 good
W_PH_B_5_014 greek
W_PH_B_5_015 grudge
W_PH_B_5_016 high
W_PH_B_5_017 hill
W_PH_B_5_018 inch
W_PH_B_5_019 kid
W_PH_B_5_020 lend
W_PH_B_5_021 love
W_PH_B_5_022 mast
W_PH_B_5_023 nose
W_PH_B_5_024 odds
W_PH_B_5_025 owls
W_PH_B_5_026 pass
W_PH_B_5_027 pipe
W_PH_B_5_028 puff
W_PH_B_5_029 punt
W_PH_B_5_030 rear
W_PH_B_5_031 rind
W_PH_B_5_032 rode
W_PH_B_5_033 roe
W_PH_B_5_034 scare
W_PH_B_5_035 shine
W_PH_B_5_036 shove
W_PH_B_5_037 sick
W_PH_B_5_038 sly
W_PH_B_5_039 solve
W_PH_B_5_040 thick
W_PH_B_5_041 thud
W_PH_B_5_042 trade
W_PH_B_5_043 true
W_PH_B_5_044 tug
W_PH_B_5_045 vase
W_PH_B_5_046 watch
W_PH_B_5_047 wink
W_PH_B_5_048 wrath
W_PH_B_5_049 yawn
W_PH_B_5_050 zone
W_PH_B_6_001 as
W_PH_B_6_002 badge
W_PH_B_6_003 best
W_PH_B_6_004 bog
W_PH_B_6_005 chart
W_PH_B_6_006 cloth
W_PH_B_6_007 clothes
W_PH_B_6_008 cob
W_PH_B_6_009 crib
W_PH_B_6_010 dad
W_PH_B_6_011 deep
W_PH_B_6_012 eat
W_PH_B_6_013 eyes
W_PH_B_6_014 fall
W_PH_B_6_015 fee
W_PH_B_6_016 flick
W_PH_B_6_017 flop
W_PH_B_6_018 forge
W_PH_B_6_019 fowl
W_PH_B_6_020 gage
W_PH_B_6_021 gap
W_PH_B_6_022 grope
W_PH_B_6_023 hitch
W_PH_B_6_024 hull
W_PH_B_6_025 jag
W_PH_B_6_026 kept
W_PH_B_6_027 leg
W_PH_B_6_028 mash
W_PH_B_6_029 nigh
W_PH_B_6_030 ode
W_PH_B_6_031 prig
W_PH_B_6_032 prime
W_PH_B_6_033 pun
W_PH_B_6_034 pus
W_PH_B_6_035 raise
W_PH_B_6_036 ray
W_PH_B_6_037 reap
W_PH_B_6_038 rooms
W_PH_B_6_039 rough
W_PH_B_6_040 scan
W_PH_B_6_041 shank
W_PH_B_6_042 slouch
W_PH_B_6_043 sup
W_PH_B_6_044 thigh
W_PH_B_6_045 thus
W_PH_B_6_046 tongue
W_PH_B_6_047 wait
W_PH_B_6_048 wasp
W_PH_B_6_049 wife
W_PH_B_6_050 writ
W_PH_M_1_001 bap
W_PH_M_1_002 bep
W_PH_M_1_003 chap
W_PH_M_1_004 chep
W_PH_M_1_005 dap
W_PH_M_1_006 dep
W_PH_M_1_007 fap
W_PH_M_1_008 fep
W_PH_M_1_009 gap
W_PH_M_1_010 gep
W_PH_M_1_011 hap
W_PH_M_1_012 hep
W_PH_M_1_013 Jap
W_PH_M_1_014 jep
W_PH_M_1_015 cap
W_PH_M_1_016 kep
W_PH_M_1_017 lap
W_PH_M_1_018 lep
W_PH_M_1_019 map
W_PH_M_1_020 mep
W_PH_M_1_021 nap
W_PH_M_1_022 nep
W_PH_M_1_023 pap
W_PH_M_1_024 pep
W_PH_M_1_025 rap
W_PH_M_1_026 rep
W_PH_M_1_027 shap
W_PH_M_1_028 shep
W_PH_M_1_029 sap
W_PH_M_1_030 sep
W_PH_M_1_031 thap
W_PH_M_1_032 thep
W_PH_M_1_033 thap
W_PH_M_1_034 thep
W_PH_M_1_035 tap
W_PH_M_1_036 tep
W_PH_M_1_037 vap
W_PH_M_1_038 vep
W_PH_M_1_039 whap
W_PH_M_1_040 whep
W_PH_M_1_041 wap
W_PH_M_1_042 wep
W_PH_M_1_043 yap
W_PH_M_1_044 yep
W_PH_M_1_045 zap
W_PH_M_1_046 zep
W_PH_M_1_047 bab
W_PH_M_1_048 beb
W_PH_M_1_049 chab
W_PH_M_1_050 cheb
W_PH_M_1_051 dab
W_PH_M_1_052 deb
W_PH_M_1_053 fab
W_PH_M_1_054 feb
W_PH_M_1_055 gab
W_PH_M_1_056 geb
W_PH_M_1_057 hab
W_PH_M_1_058 heb
W_PH_M_1_059 jab
W_PH_M_1_060 jeb
W_PH_M_1_061 cab
W_PH_M_1_062 keb
W_PH_M_1_063 lab
W_PH_M_1_064 leb
W_PH_M_1_065 mab
W_PH_M_1_066 meb
W_PH_M_1_067 nab
W_PH_M_1_068 neb
W_PH_M_1_069 pab
W_PH_M_1_070 peb
W_PH_M_1_071 rab
W_PH_M_1_072 reb
W_PH_M_1_073 shab
W_PH_M_1_074 sheb
W_PH_M_1_075 sab
W_PH_M_1_076 seb
W_PH_M_1_077 thab
W_PH_M_1_078 theb
W_PH_M_1_079 thab
W_PH_M_1_080 theb
W_PH_M_1_081 tab
W_PH_M_1_082 teb
W_PH_M_1_083 vab
W_PH_M_1_084 veb
W_PH_M_1_085 whab
W_PH_M_1_086 wheb
W_PH_M_1_087 wap
W_PH_M_1_088 web
W_PH_M_1_089 yab
W_PH_M_1_090 yeb
W_PH_M_1_091 zab
W_PH_M_1_092 zeb
W_PH_M_1_093 chip
W_PH_M_1_094 chep
W_PH_M_1_095 dip
W_PH_M_1_096 dep
W_PH_M_1_097 hip
W_PH_M_1_098 hep
W_PH_M_1_099 bick
W_PH_M_1_100 beck
W_PH_M_1_101 chic
W_PH_M_1_102 sheck
W_PH_M_1_103 chick
W_PH_M_1_104 check
W_PH_M_1_105 bat
W_PH_M_1_106 bet
W_PH_M_1_107 chat
W_PH_M_1_108 chet
W_PH_M_1_109 dat
W_PH_M_1_110 debt
W_PH_M_1_111 fat
W_PH_M_1_112 fet
W_PH_M_1_113 gat
W_PH_M_1_114 get
W_PH_M_1_115 hat
W_PH_M_1_116 het
W_PH_M_1_117 jat
W_PH_M_1_118 jet
W_PH_M_1_119 cat
W_PH_M_1_120 ket
W_PH_M_1_121 lat
W_PH_M_1_122 let
W_PH_M_1_123 mat
W_PH_M_1_124 met
W_PH_M_1_125 nat
W_PH_M_1_126 Net
W_PH_M_1_127 pat
W_PH_M_1_128 pet
W_PH_M_1_129 rat
W_PH_M_1_130 ret
W_PH_M_1_131 shat
W_PH_M_1_132 shet
W_PH_M_1_133 sat
W_PH_M_1_134 set
W_PH_M_1_135 that
W_PH_M_1_136 thet
W_PH_M_1_137 that
W_PH_M_1_138 thet
W_PH_M_1_139 tat
W_PH_M_1_140 tet
W_PH_M_1_141 vat
W_PH_M_1_142 vet
W_PH_M_1_143 what
W_PH_M_1_144 whet
W_PH_M_1_145 wat
W_PH_M_1_146 wet
W_PH_M_1_147 yat
W_PH_M_1_148 yet
W_PH_M_1_149 zat
W_PH_M_1_150 zet
W_PH_M_1_151 bad
W_PH_M_1_152 bed
W_PH_M_1_153 chad
W_PH_M_1_154 ched
W_PH_M_1_155 dad
W_PH_M_1_156 dead
W_PH_M_1_157 fad
W_PH_M_1_158 fed
W_PH_M_1_159 gad
W_PH_M_1_160 ged
W_PH_M_1_161 had
W_PH_M_1_162 head
W_PH_M_1_163 jad
W_PH_M_1_164 jed
W_PH_M_1_165 cad
W_PH_M_1_166 ked
W_PH_M_1_167 lad
W_PH_M_1_168 led
W_PH_M_1_169 mad
W_PH_M_1_170 med
W_PH_M_1_171 nad
W_PH_M_1_172 Ned
W_PH_M_1_173 pad
W_PH_M_1_174 ped
W_PH_M_1_175 rad
W_PH_M_1_176 red
W_PH_M_1_177 shad
W_PH_M_1_178 shed
W_PH_M_1_179 sad
W_PH_M_1_180 said
W_PH_M_1_181 thad
W_PH_M_1_182 thed
W_PH_M_1_183 thad
W_PH_M_1_184 thed
W_PH_M_1_185 tad
W_PH_M_1_186 Ted
W_PH_M_1_187 vad
W_PH_M_1_188 ved
W_PH_M_1_189 whad
W_PH_M_1_190 whed
W_PH_M_1_191 wad
W_PH_M_1_192 wed
W_PH_M_1_193 yad
W_PH_M_1_194 yed
W_PH_M_1_195 zad
W_PH_M_1_196 zed
W_PH_M_1_197 jip
W_PH_M_1_198 jep
W_PH_M_1_199 kip
W_PH_M_1_200 kep
W_PH_M_1_201 lip
W_PH_M_1_202 lep
W_PH_M_1_203 Dick
W_PH_M_1_204 deck
W_PH_M_1_205 hick
W_PH_M_1_206 heck
W_PH_M_1_207 kick
W_PH_M_1_208 keck
W_PH_M_1_209 back
W_PH_M_1_210 beck
W_PH_M_1_211 chack
W_PH_M_1_212 check
W_PH_M_1_213 dack
W_PH_M_1_214 deck
W_PH_M_1_215 fack
W_PH_M_1_216 feck
W_PH_M_1_217 gack
W_PH_M_1_218 geck
W_PH_M_1_219 hack
W_PH_M_1_220 heck
W_PH_M_1_221 Jack
W_PH_M_1_222 jeck
W_PH_M_1_223 kack
W_PH_M_1_224 keck
W_PH_M_1_225 lack
W_PH_M_1_226 leck
W_PH_M_1_227 mack
W_PH_M_1_228 meck
W_PH_M_1_229 nack
W_PH_M_1_230 neck
W_PH_M_1_231 pack
W_PH_M_1_232 peck
W_PH_M_1_233 rack
W_PH_M_1_234 reck
W_PH_M_1_235 shack
W_PH_M_1_236 sheck
W_PH_M_1_237 sack
W_PH_M_1_238 seck
W_PH_M_1_239 thack
W_PH_M_1_240 theck
W_PH_M_1_241 thack
W_PH_M_1_242 theck
W_PH_M_1_243 tack
W_PH_M_1_244 teck
W_PH_M_1_245 vack
W_PH_M_1_246 veck
W_PH_M_1_247 whack
W_PH_M_1_248 wheck
W_PH_M_1_249 wack
W_PH_M_1_250 weck
W_PH_M_1_251 yack
W_PH_M_1_252 yeck
W_PH_M_1_253 zack
W_PH_M_1_254 zeck
W_PH_M_1_255 bag
W_PH_M_1_256 beg
W_PH_M_1_257 chag
W_PH_M_1_258 cheg
W_PH_M_1_259 dag
W_PH_M_1_260 deg
W_PH_M_1_261 fag
W_PH_M_1_262 feg
W_PH_M_1_263 gag
W_PH_M_1_264 geg
W_PH_M_1_265 hag
W_PH_M_1_266 heg
W_PH_M_1_267 jag
W_PH_M_1_268 jeg
W_PH_M_1_269 kag
W_PH_M_1_270 keg
W_PH_M_1_271 lag
W_PH_M_1_272 leg
W_PH_M_1_273 mag
W_PH_M_1_274 Meg
W_PH_M_1_275 nag
W_PH_M_1_276 neg
W_PH_M_1_277 pag
W_PH_M_1_278 peg
W_PH_M_1_279 rag
W_PH_M_1_280 reg
W_PH_M_1_281 shag
W_PH_M_1_282 sheg
W_PH_M_1_283 sag
W_PH_M_1_284 seg
W_PH_M_1_285 thag
W_PH_M_1_286 theg
W_PH_M_1_287 thag
W_PH_M_1_288 theg
W_PH_M_1_289 tag
W_PH_M_1_290 teg
W_PH_M_1_291 vag
W_PH_M_1_292 veg
W_PH_M_1_293 whag
W_PH_M_1_294 wheg
W_PH_M_1_295 wag
W_PH_M_1_296 weg
W_PH_M_1_297 yag
W_PH_M_1_298 yeg
W_PH_M_1_299 zag
W_PH_M_1_300 zeg
W_PH_M_1_301 nip
W_PH_M_1_302 nep
W_PH_M_1_303 pip
W_PH_M_1_304 pep
W_PH_M_1_305 rip
W_PH_M_1_306 rep
W_PH_M_1_307 lick
W_PH_M_1_308 leck
W_PH_M_1_309 Mick
W_PH_M_1_310 meck
W_PH_M_1_311 Nick
W_PH_M_1_312 neck
W_PH_M_1_313 bit
W_PH_M_1_314 bet
W_PH_M_1_315 chit
W_PH_M_1_316 chet
W_PH_M_1_317 dit
W_PH_M_1_318 debt
W_PH_M_1_319 fit
W_PH_M_1_320 fet
W_PH_M_1_321 git
W_PH_M_1_322 get
W_PH_M_1_323 hit
W_PH_M_1_324 het
W_PH_M_1_325 jit
W_PH_M_1_326 jet
W_PH_M_1_327 kit
W_PH_M_1_328 ket
W_PH_M_1_329 knit
W_PH_M_1_330 net
W_PH_M_1_331 lit
W_PH_M_1_332 let
W_PH_M_1_333 mitt
W_PH_M_1_334 met
W_PH_M_1_335 pit
W_PH_M_1_336 pet
W_PH_M_1_337 shit
W_PH_M_1_338 shet
W_PH_M_1_339 sit
W_PH_M_1_340 set
W_PH_M_1_341 tit
W_PH_M_1_342 tet
W_PH_M_1_343 vit
W_PH_M_1_344 vet
W_PH_M_1_345 whit
W_PH_M_1_346 whet
W_PH_M_1_347 wit
W_PH_M_1_348 wet
W_PH_M_1_349 writ
W_PH_M_1_350 ret
W_PH_M_1_351 yit
W_PH_M_1_352 yet
W_PH_M_1_353 zit
W_PH_M_1_354 zet
W_PH_M_1_355 bid
W_PH_M_1_356 bed
W_PH_M_1_357 chid
W_PH_M_1_358 ched
W_PH_M_1_359 did
W_PH_M_1_360 dead
W_PH_M_1_361 fid
W_PH_M_1_362 fed
W_PH_M_1_363 gid
W_PH_M_1_364 ged
W_PH_M_1_365 hid
W_PH_M_1_366 head
W_PH_M_1_367 jid
W_PH_M_1_368 jed
W_PH_M_1_369 kid
W_PH_M_1_370 ked
W_PH_M_1_371 lid
W_PH_M_1_372 led
W_PH_M_1_373 mid
W_PH_M_1_374 med
W_PH_M_1_375 nid
W_PH_M_1_376 Ned
W_PH_M_1_377 pid
W_PH_M_1_378 ped
W_PH_M_1_379 rid
W_PH_M_1_380 red
W_PH_M_1_381 shid
W_PH_M_1_382 shed
W_PH_M_1_383 sid
W_PH_M_1_384 said
W_PH_M_1_385 thid
W_PH_M_1_386 thed
W_PH_M_1_387 thid
W_PH_M_1_388 thed
W_PH_M_1_389 tid
W_PH_M_1_390 Ted
W_PH_M_1_391 vid
W_PH_M_1_392 ved
W_PH_M_1_393 whid
W_PH_M_1_394 whed
W_PH_M_1_395 wid
W_PH_M_1_396 wed
W_PH_M_1_397 yid
W_PH_M_1_398 yed
W_PH_M_1_399 zid
W_PH_M_1_400 zed
W_PH_M_1_401 ship
W_PH_M_1_402 shep
W_PH_M_1_403 sip
W_PH_M_1_404 sep
W_PH_M_1_405 tip
W_PH_M_1_406 tep
W_PH_M_1_407 pick
W_PH_M_1_408 peck
W_PH_M_1_409 Rick
W_PH_M_1_410 wreck
W_PH_M_1_411 sick
W_PH_M_1_412 sec
W_PH_M_1_413 bib
W_PH_M_1_414 beb
W_PH_M_1_415 chib
W_PH_M_1_416 cheb
W_PH_M_1_417 dib
W_PH_M_1_418 deb
W_PH_M_1_419 fib
W_PH_M_1_420 feb
W_PH_M_1_421 gib
W_PH_M_1_422 geb
W_PH_M_1_423 hib
W_PH_M_1_424 heb
W_PH_M_1_425 jib
W_PH_M_1_426 jeb
W_PH_M_1_427 kib
W_PH_M_1_428 keb
W_PH_M_1_429 lib
W_PH_M_1_430 leb
W_PH_M_1_431 mib
W_PH_M_1_432 meb
W_PH_M_1_433 nib
W_PH_M_1_434 neb
W_PH_M_1_435 pib
W_PH_M_1_436 peb
W_PH_M_1_437 rib
W_PH_M_1_438 reb
W_PH_M_1_439 shib
W_PH_M_1_440 sheb
W_PH_M_1_441 sib
W_PH_M_1_442 seb
W_PH_M_1_443 thib
W_PH_M_1_444 theb
W_PH_M_1_445 thib
W_PH_M_1_446 theb
W_PH_M_1_447 tib
W_PH_M_1_448 teb
W_PH_M_1_449 vib
W_PH_M_1_450 veb
W_PH_M_1_451 whib
W_PH_M_1_452 wheb
W_PH_M_1_453 wib
W_PH_M_1_454 web
W_PH_M_1_455 yib
W_PH_M_1_456 yeb
W_PH_M_1_457 zib
W_PH_M_1_458 zeb
W_PH_M_1_459 big
W_PH_M_1_460 beg
W_PH_M_1_461 chig
W_PH_M_1_462 cheg
W_PH_M_1_463 dig
W_PH_M_1_464 deg
W_PH_M_1_465 fig
W_PH_M_1_466 feg
W_PH_M_1_467 gig
W_PH_M_1_468 geg
W_PH_M_1_469 hig
W_PH_M_1_470 heg
W_PH_M_1_471 jig
W_PH_M_1_472 jeg
W_PH_M_1_473 kig
W_PH_M_1_474 keg
W_PH_M_1_475 lig
W_PH_M_1_476 leg
W_PH_M_1_477 mig
W_PH_M_1_478 Meg
W_PH_M_1_479 nig
W_PH_M_1_480 neg
W_PH_M_1_481 pig
W_PH_M_1_482 peg
W_PH_M_1_483 rig
W_PH_M_1_484 reg
W_PH_M_1_485 shig
W_PH_M_1_486 sheg
W_PH_M_1_487 sig
W_PH_M_1_488 seg
W_PH_M_1_489 thig
W_PH_M_1_490 theg
W_PH_M_1_491 thig
W_PH_M_1_492 theg
W_PH_M_1_493 tig
W_PH_M_1_494 teg
W_PH_M_1_495 vig
W_PH_M_1_496 veg
W_PH_M_1_497 whag
W_PH_M_1_498 wheg
W_PH_M_1_499 wig
W_PH_M_1_500 weg
W_PH_M_1_501 yig
W_PH_M_1_502 yeg
W_PH_M_1_503 zig
W_PH_M_1_504 zeg
W_PH_M_1_505 whip
W_PH_M_1_506 whep
W_PH_M_1_507 yip
W_PH_M_1_508 yep
W_PH_M_1_509 zip
W_PH_M_1_510 zep
W_PH_M_1_511 bip
W_PH_M_1_512 bep
W_PH_M_1_513 thick
W_PH_M_1_514 theck
W_PH_M_1_515 tick
W_PH_M_1_516 tech
W_PH_M_1_517 wick
W_PH_M_1_518 weck
W_PH_M_2_001 sailing
W_PH_M_2_002 selling
W_PH_M_2_003 lack
W_PH_M_2_004 luck
W_PH_M_2_005 burn
W_PH_M_2_006 barn
W_PH_M_2_007 stuck
W_PH_M_2_008 stock
W_PH_M_2_009 meat
W_PH_M_2_010 mitt
W_PH_M_2_011 sing
W_PH_M_2_012 sink
W_PH_M_2_013 pitch
W_PH_M_2_014 bitch
W_PH_M_2_015 rope
W_PH_M_2_016 robe
W_PH_M_2_017 feat
W_PH_M_2_018 heat
W_PH_M_2_019 covered
W_PH_M_2_020 cupboard
W_PH_M_2_021 vile
W_PH_M_2_022 bile
W_PH_M_2_023 mouse
W_PH_M_2_024 mouth
W_PH_M_2_025 cease
W_PH_M_2_026 seethe
W_PH_M_2_027 raise
W_PH_M_2_028 raids
W_PH_M_2_029 ways
W_PH_M_2_030 wades
W_PH_M_2_031 wordy
W_PH_M_2_032 worthy
W_PH_M_2_033 breed
W_PH_M_2_034 breathe
W_PH_M_2_035 Dan
W_PH_M_2_036 then
W_PH_M_2_037 measure
W_PH_M_2_038 major
W_PH_M_2_039 region
W_PH_M_2_040 legion
W_PH_M_2_041 crime
W_PH_M_2_042 climb
W_PH_M_2_043 sudden
W_PH_M_2_044 button
W_PH_M_2_045 lone
W_PH_M_2_046 long
W_PH_M_2_047 win
W_PH_M_2_048 wing
W_PH_M_2_049 yeast
W_PH_M_2_050 east
W_PH_M_2_051 color
W_PH_M_2_052 collar
W_PH_M_2_053 college
W_PH_M_2_054 courage
W_PH_M_2_055 Luke
W_PH_M_2_056 look
W_PH_M_2_057 dove
W_PH_M_2_058 dove
W_PH_M_2_059 ward
W_PH_M_2_060 word
W_PH_M_2_061 elastic
W_PH_M_2_062 elasticity
W_PH_M_2_063 photograph
W_PH_M_2_064 photography
W_PH_M_2_065 estimate
W_PH_M_2_066 estimate
W_PH_M_2_067 record
W_PH_M_2_068 record
W_PH_M_2_069 rebel
W_PH_M_2_070 rebellion
W_PH_M_2_071 majestic
W_PH_M_2_072 magnetic
W_PH_M_2_073 pleading
W_PH_M_2_074 bleeding
W_PH_M_2_075 lamps
W_PH_M_2_076 lambs
W_PH_M_2_077 whore
W_PH_M_2_078 four
W_PH_M_2_079 laughs
W_PH_M_2_080 loves
W_PH_M_2_081 strike
W_PH_M_2_082 stroke
W_PH_M_2_083 asked
W_PH_M_2_084 smashed
W_PH_M_2_085 dummy
W_PH_M_2_086 entries
W_PR_V_1_001 accessory
W_PR_V_1_002 kangaroo
W_PR_V_1_003 technology
W_PR_V_1_004 escalator
W_PR_V_1_005 dessert
W_PR_V_1_006 percent
W_PR_V_1_007 spaghetti
W_PR_V_1_008 volunteer
W_PR_V_1_009 penalty
W_PR_V_1_010 influenza
W_PR_V_1_011 delicate
W_PR_V_1_012 democracy
W_PR_V_1_013 electric
W_PR_V_1_014 electronic
W_PR_V_1_015 desert
W_PR_V_1_016 pattern
W_PR_V_1_017 control
W_PR_V_1_018 economic
W_PR_V_1_019 gorilla
W_PR_V_1_020 orchestra
W_PR_V_2_001 cigarette
W_PR_V_2_002 millionaire
W_PR_V_2_003 dialect
W_PR_V_2_004 innovation
W_PR_V_2_005 academician
W_PR_V_2_006 epistemology
W_PR_V_2_007 differentiate
W_PR_V_2_008 intercommunicate
W_PR_V_2_009 totalitarian
W_PR_V_2_010 inferiority
W_PR_V_2_011 theatricality
W_PR_V_2_012 instrumental
W_PR_V_2_013 geology
W_PR_V_2_014 geological
W_PR_V_2_015 computer
W_PR_V_2_016 computation
W_PR_V_3_001 I'd like to make hotel reservation
W_PR_V_3_002 Chimpanzees like bananas very much
W_PR_V_3_003 Where's the elevator
W_PR_V_3_004 He has a bad image
W_PR_V_3_005 Oranges grow in warm climates
W_PR_V_3_006 Do olives grow in the United States
W_PR_V_3_007 That's a good idea
W_PR_V_3_008 What kind of ice cream would you like
W_PR_V_3_009 Vanilla, please
W_PR_V_3_010 This is the Far East Network
W_PR_V_3_011 Four ultraleftist guerrilla raided the prime minister's official residence
W_PR_V_4_001 a black bird
W_PR_V_4_002 a blackbird
W_PR_V_4_003 a dark room
W_PR_V_4_004 a darkroom
W_PR_V_4_005 a light housekeeper
W_PR_V_4_006 a lighthouse keeper
W_PR_V_4_007 the brief case
W_PR_V_4_008 the briefcase
W_PR_V_4_009 apple pie
W_PR_V_4_010 apple polisher
W_PR_V_4_011 bamboo curtain
W_PR_V_4_012 bamboo shoot
W_PR_V_4_013 orange sherbet
W_PR_V_4_014 orange peel
W_PR_V_4_015 the Conservative Party
W_PR_V_4_016 the Christmas party
W_PR_V_5_001 almond-eyed
W_PR_V_5_002 broad-minded
W_PR_V_5_003 free-range
W_PR_V_5_004 blue-black
W_PR_V_5_005 forward-looking
W_PR_V_5_006 built-in
W_PR_V_5_007 fed-up
W_PR_V_5_008 black-and-white
W_PR_V_5_009 one-to-many
W_PR_V_5_010 college-bound
W_PR_V_5_011 moonlit
W_PR_V_5_012 waterproof
W_PR_V_5_013 clockwise
